# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

 
  CCTV-1高清,igmp://239.255.2.2:8000
  风云音乐,igmp://239.255.3.74:9860

  风云足球,igmp://239.255.3.75:9864

  高尔夫网球,igmp://239.255.3.89:7972

  天元围棋,igmp://239.255.3.90:7968

  武术世界,igmp://239.255.3.91:7964

  兵器科技,igmp://239.255.3.92:7960

  世界地理,igmp://239.255.3.93:7956

  老故事,igmp://239.255.3.94:7952

  环球奇观,igmp://239.255.3.95:7948

  文物宝库,igmp://239.255.3.96:7944

  国学,igmp://239.255.3.97:7940

  茶频道,igmp://239.255.3.98:7936

  女性时尚,igmp://239.255.3.81:9888

  文化精品,igmp://239.255.3.100:7928

  早期教育,igmp://239.255.3.101:7924

  快乐垂钓,igmp://239.255.3.102:7920

  书画,igmp://239.255.3.104:7912

  梨园,igmp://239.255.3.76:9868

  卫生健康,igmp://239.255.2.212:9260

  汽摩,igmp://239.255.3.107:7900

  先锋乒羽,igmp://239.255.3.153:9984

  发现之旅,igmp://239.255.3.171:9504

  环球旅游,igmp://239.255.3.156:9996

  央视台球,igmp://239.255.3.119:7852

  四海钓鱼,igmp://239.255.3.155:9992

  优优宝贝,igmp://239.255.3.157:10000

  生态环境,igmp://239.255.3.159:10008

  财富天下,igmp://239.255.3.161:10016

  CHC家庭影院,igmp://239.255.3.77:9872

  CHC影迷电影,igmp://239.255.3.78:9876

  CHC动作电影,igmp://239.255.3.79:9880

  CCTV-4K,igmp://239.255.3.150:9972

  CCTV4中文国际欧洲,igmp://239.255.3.197:10160

  CCTV4中文国际美洲,igmp://239.255.3.198:10164

  CGTN 英文记录,igmp://239.255.3.200:10172

  CGTN 西班牙语,igmp://239.255.3.201:10176

  CGTN 法语,igmp://239.255.3.202:10180

  CGTN 阿拉伯语,igmp://239.255.3.203:10184

  CGTN 俄语,igmp://239.255.3.204:10188

  CCTV-4K超高清,igmp://239.255.2.126:8744

  慢直播1,igmp://239.255.3.174:10068

  慢直播2,igmp://239.255.3.175:10072

  慢直播3,igmp://239.255.3.176:10076

  慢直播4,igmp://239.255.3.177:10080

  慢直播5,igmp://239.255.3.178:10084

  慢直播6,igmp://239.255.3.179:10088

  慢直播7,igmp://239.255.3.180:10092

  慢直播8,igmp://239.255.3.181:10096

  慢直播9,igmp://239.255.3.182:10100

  慢直播10,igmp://239.255.3.183:10104

  慢直播11,igmp://239.255.3.184:10108

  慢直播12,igmp://239.255.3.185:10112

  慢直播13,igmp://239.255.3.186:10116

  慢直播14,igmp://239.255.3.187:10120

  慢直播15,igmp://239.255.3.188:10124

  慢直播16,igmp://239.255.3.189:10128

  慢直播17,igmp://239.255.3.190:10132

  慢直播18,igmp://239.255.3.191:10136

  慢直播19,igmp://239.255.3.192:10140

  慢直播20,igmp://239.255.3.193:10144

  慢直播21,igmp://239.255.3.194:10148

  慢直播22,igmp://239.255.2.254:9468

  慢直播23,igmp://239.255.3.58:9516

  慢直播24,igmp://239.255.3.127:9520

  慢直播九屏1,igmp://239.255.3.128:9524

  慢直播九屏2,igmp://239.255.3.133:9528

  慢直播九屏3,igmp://239.255.3.134:9532

  凤凰卫视电影台,igmp://239.255.3.243:10344

  凤凰卫视中文台,igmp://239.255.3.244:10348

  凤凰卫视资讯台,igmp://239.255.3.245:10352

  元氏电视,igmp://239.255.2.114:8672

  高邑电视,igmp://239.255.2.117:8690

  栾城电视,igmp://239.255.2.119:8702

  井陉矿区电视,igmp://239.255.2.120:8708

  赞皇电视,igmp://239.255.2.121:8714

